index       x [mm]        y [mm]        z [mm]        chID  
0.00        381.00        -171.45        -666.75        -99.00
1.00        381.00        -57.15        -666.75        -99.00
2.00        381.00        57.15        -666.75        -99.00
3.00        381.00        171.45        -666.75        -99.00
4.00        190.50        -342.90        -666.75        -99.00
5.00        190.50        -228.60        -666.75        -99.00
6.00        190.50        -114.30        -666.75        -99.00
7.00        190.50        0.00        -666.75        -99.00
8.00        190.50        114.30        -666.75        -99.00
9.00        190.50        228.60        -666.75        -99.00
10.00        190.50        342.90        -666.75        -99.00
11.00        0.00        -400.05        -666.75        -99.00
12.00        0.00        -285.75        -666.75        -99.00
13.00        0.00        -171.45        -666.75        -99.00
14.00        0.00        -57.15        -666.75        -99.00
15.00        0.00        57.15        -666.75        -99.00
16.00        0.00        171.45        -666.75        -99.00
17.00        0.00        285.75        -666.75        -99.00
18.00        0.00        400.05        -666.75        -99.00
19.00        -190.50        -342.90        -666.75        -99.00
20.00        -190.50        -228.60        -666.75        -99.00
21.00        -190.50        -114.30        -666.75        -99.00
22.00        -190.50        0.00        -666.75        -99.00
23.00        -190.50        114.30        -666.75        -99.00
24.00        -190.50        228.60        -666.75        -99.00
25.00        -190.50        342.90        -666.75        -99.00
26.00        -381.00        -171.45        -666.75        -99.00
27.00        -381.00        -57.15        -666.75        -99.00
28.00        -381.00        57.15        -666.75        -99.00
29.00        -381.00        171.45        -666.75        -99.00
